State,Parliment,Name,Party,Vote,Result
Johor,Segamat,R. Yuneswaran,Pakatan Harapan,23437,Menang
Johor,Segamat,Poobalan Ponnusamy,Perikatan Nasional,8385,Kalah
Johor,Segamat,Syed Hairoul,Parti Pejuang Tanahair,1062,Kalah
Johor,Segamat,Tan Sri M Ramasamy,Barisan Nasional,17768,Kalah
Johor,Sekijang,Dr. Zaliha Mustafa,Pakatan Harapan,18941,Menang
Johor,Sekijang,Md Salleheen Bin Mohamad,Barisan Nasional,17207,Kalah
Johor,Sekijang,Uzzair Bin Ismail,Perikatan Nasional,11612,Kalah
Johor,Sekijang,Dr. Mohd Zohar,Parti Warisan Sabah,0,Kalah
Johor,Sekijang,Saiful Faizal,Parti Pejuang Tanahair,0,Kalah
Johor,Labis,Pang Hok Liong,Pakatan Harapan,16133,Menang
Johor,Labis,Chua Tee Yong,Barisan Nasional,13300,Kalah
Johor,Labis,Alvin Chang,Perikatan Nasional,5312,Kalah
Johor,Pagoh,Iskandar Shah,Pakatan Harapan,14979,Kalah
Johor,Pagoh,Datuk Seri Razali Ibrahim,Barisan Nasional,14426,Kalah
Johor,Pagoh,Tan Sri Muhyiddin Bin Md Yasin,Perikatan Nasional,24986,Menang
Johor,Ledang,Syed Ibrahim Syed Noh,Pakatan Harapan,33650,Menang
Johor,Ledang,Hamim Samuri,Barisan Nasional,23881,Kalah
Johor,Ledang,Zaidi Hj Majid,Perikatan Nasional,22292,Kalah
Johor,Ledang,Rafidah Ridwan,Parti Pejuang Tanahair,269,Kalah
Johor,Ledang,Zainal Bahrom,Bebas,75,Kalah
Johor,Ledang,Cikgu Yunus,Bebas,140,Kalah
Johor,Bakri,Tan Hong Pin,Pakatan Harapan,36636,Menang
Johor,Bakri,Chris Lee Ching Yong,Barisan Nasional,17382,Kalah
Johor,Bakri,R. S. Chelva,Perikatan Nasional,17222,Kalah
Johor,Bakri,Haron Jaffar,Bebas,1900,Kalah
Johor,Muar,Syed Saddiq,Ikatan Demokratik Malaysia,19961,Menang
Johor,Muar,Mohd Helmy Abd.Latif,Barisan Nasional,14581,Kalah
Johor,Muar,Ustaz Abdullah Husin,Perikatan Nasional,18616,Kalah
Johor,Parit Sulong,Noraini Ahmad,Barisan Nasional,25740,Menang
Johor,Parit Sulong,Dr Karim,Perikatan Nasional,23719,Kalah
Johor,Parit Sulong,Mohd Faizal Dolah,Pakatan Harapan,13495,Kalah
Johor,Sri Gading,Datuk Lassim Burhan,Barisan Nasional,19242,Kalah
Johor,Sri Gading,Zanariyah ,Perikatan Nasional,18475,Kalah
Johor,Sri Gading,Mahdzir Bin Ibrahim,Parti Pejuang Tanahair,305,Kalah
Johor,Sri Gading,Cikgu Huda,Pakatan Harapan,23242,Menang
Johor,Batu Pahat,Ishak Siraj ,Barisan Nasional,24309,Kalah
Johor,Batu Pahat,Dato' Rashid Hasnon,Perikatan Nasional,29270,Kalah
Johor,Batu Pahat,Nizam Bashir,Parti Pejuang Tanahair,410,Kalah
Johor,Batu Pahat,Onn Bin Abu Bakar,Pakatan Harapan,45242,Menang
Johor,Batu Pahat,Zahari Bin Osman,Parti Rakyat Malaysia,263,Kalah
Johor,Simpang Renggam,Dr Maszlee Malik,Pakatan Harapan,16491,Kalah
Johor,Simpang Renggam,Hasni Bin Mohammad,Barisan Nasional,18312,Menang
Johor,Simpang Renggam,Fazrul Kamat,Perikatan Nasional,9077,Kalah
Johor,Simpang Renggam,Kamal,Parti Pejuang Tanahair,251,Kalah
Johor,Kluang,Wong Shu Qi,Pakatan Harapan,49801,Menang
Johor,Kluang,Gan Ping Sieu,Barisan Nasional,23395,Kalah
Johor,Kluang,Dzulkarnain Bin Alias,Perikatan Nasional,22021,Kalah
Johor,Kluang,Ir. U. Ramendran,Bebas,404,Kalah
Johor,Sembrong,Hasni Abas,Pakatan Harapan,11692,Kalah
Johor,Sembrong,Hishammuddin Hussein,Barisan Nasional,22572,Menang
Johor,Sembrong,Joe Aziz,Perikatan Nasional,6666,Kalah
Johor,Mersing,Zulaikha Zaidi,Pakatan Harapan,6813,Kalah
Johor,Mersing,Abd Latif Bandi,Barisan Nasional,18729,Kalah
Johor,Mersing,Islahuddin Abas,Perikatan Nasional,21066,Menang
Johor,Mersing,Nurfatimah Ibrahim,Parti Pejuang Tanahair,209,Kalah
Johor,Mersing,Ismail Bin Don,Bebas,89,Kalah
Johor,Tenggara,Zuraidah Chedah,Pakatan Harapan,11618,Kalah
Johor,Tenggara,Manndzri Bin Nasib,Barisan Nasional,21185,Menang
Johor,Tenggara,Kolonel Nazari,Perikatan Nasional,18194,Kalah
Johor,Tenggara,Azhar Palal,Parti Pejuang Tanahair,353,Kalah
Johor,Kota Tinggi,Khaled Nordin ,Barisan Nasional,25410,Menang
Johor,Kota Tinggi,Ridhwan Rasman,Perikatan Nasional,17020,Kalah
Johor,Kota Tinggi,Onn Jaafar,Pakatan Harapan,4903,Kalah
Johor,Pengerang,Azalina Othman Said,Barisan Nasional,21738,Menang
Johor,Pengerang,Cikgu Imam Nizar,Perikatan Nasional,16728,Kalah
Johor,Pengerang,Che Zakaria Bin Mohd Salleh,Pakatan Harapan,3374,Kalah
Johor,Tebrau,Jimmy Puah Wee Tse,Pakatan Harapan,83959,Menang
Johor,Tebrau,Nicole Wong,Barisan Nasional,30767,Kalah
Johor,Tebrau,Mohamad Isa Bin Mohamad Basir,Perikatan Nasional,53239,Kalah
Johor,Pasir Gudang,Hassan Abdul Karim,Pakatan Harapan,71233,Menang
Johor,Pasir Gudang,Noor Azleen Ambros,Barisan Nasional,37369,Kalah
Johor,Pasir Gudang,Mohamad Farid Bin Abdul Razak,Perikatan Nasional,39675,Kalah
Johor,Pasir Gudang,Mohammad Raffi Beran,Parti Pejuang Tanahair,1003,Kalah
Johor,Johor Bahru,Akmal Nasir,Pakatan Harapan,43252,Menang
Johor,Johor Bahru,Johan Ropi,Barisan Nasional,27211,Kalah
Johor,Johor Bahru,Mohtaj,Perikatan Nasional,22075,Kalah
Johor,Johor Bahru,Hairy Mahmood,Parti Pejuang Tanahair,1855,Kalah
Johor,Pulai,Nur Jazlan,Barisan Nasional,31726,Kalah
Johor,Pulai,Loh Kah Yong,Perikatan Nasional,20677,Kalah
Johor,Pulai,Datuk Seri Salahuddin Ayub,Pakatan Harapan,64900,Menang
Johor,Iskandar Puteri,Liew Chin Tong,Pakatan Harapan,96819,Menang
Johor,Iskandar Puteri,Datuk Jason Teoh,Barisan Nasional,36783,Kalah
Johor,Iskandar Puteri,Jashen Tan,Perikatan Nasional,30078,Kalah
Johor,Kulai,Teo Nie Ching,Pakatan Harapan,65529,Menang
Johor,Kulai,Chua Jian Boon,Barisan Nasional,29506,Kalah
Johor,Kulai,Dato' Tan,Perikatan Nasional,20218,Kalah
Johor,Pontian,Datuk Seri Ahmad Maslan,Barisan Nasional,23201,Menang
Johor,Pontian,Cikgu Isa Bin Ab Hamid,Perikatan Nasional,17443,Kalah
Johor,Pontian,Jamaluddin Mohamad,Parti Pejuang Tanahair,306,Kalah
Johor,Pontian,Shazwan Zdainal,Pakatan Harapan,15901,Kalah
Johor,Tanjung Piai,Lim Wei Jiet,Ikatan Demokratik Malaysia,17233,Kalah
Johor,Tanjung Piai,Wee Jeck Seng,Barisan Nasional,23593,Menang
Johor,Tanjung Piai,Najwah Halimah,Perikatan Nasional,13762,Kalah
Johor,Ayer Hitam,Sheikh Omar,Pakatan Harapan,15948,Kalah
Johor,Ayer Hitam,Wee Ka Siong,Barisan Nasional,18911,Menang
Johor,Ayer Hitam,Syafiq Aziz,Perikatan Nasional,11833,Kalah
Kedah,Langkawi,Zabidi Yahya,Pakatan Harapan,5417,Kalah
Kedah,Langkawi,Dato' Armishah Siraj (Das),Barisan Nasional,11945,Kalah
Kedah,Langkawi,Mohd Suhaimi Bin Abdullah,Perikatan Nasional,25463,Menang
Kedah,Langkawi,Mahathir Bin Mohamad,Parti Pejuang Tanahair,4566,Kalah
Kedah,Langkawi,Dato Paduka Abd Kadir,Bebas,89,Kalah
Kedah,Jerlun,Dr. Mohamed Fadzil Mohd Ali,Pakatan Harapan,6149,Kalah
Kedah,Jerlun,Othman Bin Aziz,Barisan Nasional,11229,Kalah
Kedah,Jerlun,Dr. Abd Ghani Ahmad,Perikatan Nasional,31685,Menang
Kedah,Jerlun,Dato' Seri Utama Mukhriz Mahathir,Parti Pejuang Tanahair,3144,Kalah
Kedah,Kubang Pasu,Aizuddin Ariffin,Pakatan Harapan,16000,Kalah
Kedah,Kubang Pasu,Hasmuni Bin Hassan (Tok Muni),Barisan Nasional,14489,Kalah
Kedah,Kubang Pasu,Dato' Wira Dr Ku Abd Rahman Bin Ku Ismail,Perikatan Nasional,47584,Menang
Kedah,Kubang Pasu,Amiruddin Hamzah (Tok Met),Parti Pejuang Tanahair,5329,Kalah
Kedah,Padang Terap,Muaz Abdullah,Pakatan Harapan,2702,Kalah
Kedah,Padang Terap,Mahdzir Bin Khalid,Barisan Nasional,17258,Kalah
Kedah,Padang Terap,Ustaz Nurul Amin,Perikatan Nasional,28217,Menang
Kedah,Padang Terap,Razali Bin Lebai Salleh,Parti Pejuang Tanahair,452,Kalah
Kedah,Pokok Sena,Noran Zamini Bin Jamaluddin,Barisan Nasional,14523,Kalah
Kedah,Pokok Sena,Dato' Ahmad Yahaya,Perikatan Nasional,52275,Menang
Kedah,Pokok Sena,Noraini Binti Md Salleh,Parti Warisan Sabah,622,Kalah
Kedah,Pokok Sena,Dato' Wira Hj Mahfuz Omar,Pakatan Harapan,20524,Kalah
Kedah,Alor Setar,Tan Chee Hiong,Barisan Nasional,8930,Kalah
Kedah,Alor Setar,Afnan Hamimi Bin Dato' Haji Taib Azamudden,Perikatan Nasional,37486,Menang
Kedah,Alor Setar,Nuhairi Rahmat,Parti Pejuang Tanahair,2383,Kalah
Kedah,Alor Setar,Fadzil Bin Hanafi,Parti Warisan Sabah,366,Kalah
Kedah,Alor Setar,Simon Ooi Tze Min,Pakatan Harapan,27555,Kalah
Kedah,Alor Setar,Dato' Dr Nordin Yunus,Bebas,115,Kalah
Kedah,Alor Setar,Sofan Feroza,Bebas,151,Kalah
Kedah,Kuala Kedah,Dr Azman Ismail,Pakatan Harapan,28237,Kalah
Kedah,Kuala Kedah,Dato Dr Mashitah Binti Ibrahim,Barisan Nasional,13879,Kalah
Kedah,Kuala Kedah,Dr. Ahmad Fakhruddin,Perikatan Nasional,56298,Menang
Kedah,Kuala Kedah,Ulya Husamudin ,Parti Pejuang Tanahair,1805,Kalah
Kedah,Kuala Kedah,Pak Tuan Al Idrus,Parti Warisan Sabah,256,Kalah
Kedah,Pendang,Dato Zul,Pakatan Harapan,8058,Kalah
Kedah,Pendang,Datuk Haji Awang Solahudin,Perikatan Nasional,49008,Menang
Kedah,Pendang,Rashid Yob,Parti Pejuang Tanahair,809,Kalah
Kedah,Pendang,Suraya Binti Yaacob,Barisan Nasional,17719,Kalah
Kedah,Jerai,Zulhazmi Bin Shariff,Pakatan Harapan,15590,Kalah
Kedah,Jerai,Dato Seri Dr. Jamil Khir Baharom,Barisan Nasional,16269,Kalah
Kedah,Jerai,Ustaz Sabri Bin Azit,Perikatan Nasional,49461,Menang
Kedah,Jerai,Datuk Nizam Mahshar,Parti Pejuang Tanahair,973,Kalah
Kedah,Sik,Dato' Latifah Md Yatim,Pakatan Harapan,3736,Kalah
Kedah,Sik,Maizatulakmam Binti Othman @ Ibrahim,Barisan Nasional,12819,Kalah
Kedah,Sik,Ahmad Tarmizi Sulaiman,Perikatan Nasional,34606,Menang
Kedah,Merbok,Dato' Shaiful Hazizy,Barisan Nasional,16691,Kalah
Kedah,Merbok,Mohd Nazri Bin Abu Hassan,Perikatan Nasional,52573,Menang
Kedah,Merbok,Datuk Mosin Razak,Parti Pejuang Tanahair,1201,Kalah
Kedah,Merbok,Khairul Anuar ,Parti Warisan Sabah,525,Kalah
Kedah,Merbok,Nurin Aina,Pakatan Harapan,31554,Kalah
Kedah,Sungai Petani,Dr. Taufiq Bin Dato' Johari,Pakatan Harapan,50580,Menang
Kedah,Sungai Petani,Dato' Shahanim Binti Mohamad Yusoff,Barisan Nasional,27391,Kalah
Kedah,Sungai Petani,Dr. Robert Ling Kui Ee,Perikatan Nasional,49465,Kalah
Kedah,Sungai Petani,Hj. Marzuki Yahya,Parti Pejuang Tanahair,2342,Kalah
Kedah,Sungai Petani,Tan Joon Long @ Tan Chow Kang,Parti Rakyat Malaysia,226,Kalah
Kedah,Baling,Cikgu Johari Abdullah,Pakatan Harapan,8636,Kalah
Kedah,Baling,Datuk Azeez Rahim,Barisan Nasional,35356,Kalah
Kedah,Baling,Ustaz Hassan,Perikatan Nasional,64493,Menang
Kedah,Baling,Lt Kol (B) Basir ,Parti Pejuang Tanahair,579,Kalah
Kedah,Kulim-Bandar Baharu,Datuk Seri Saifuddin Nasution Ismail,Pakatan Harapan,21408,Kalah
Kedah,Kulim-Bandar Baharu,Datuk Muhar Bin Hussain,Barisan Nasional,13872,Kalah
Kedah,Kulim-Bandar Baharu,Cikgu Roslan Hashim,Perikatan Nasional,34469,Menang
Kedah,Kulim-Bandar Baharu,Mohamad Yusrizal Yusoff,Parti Pejuang Tanahair,591,Kalah
Kelantan,Tumpat,Dato' Che Lah (Dcl),Barisan Nasional,30633,Kalah
Kelantan,Tumpat,Dato' Kak Taz,Parti Islam Se-Malaysia,65426,Menang
Kelantan,Tumpat,Khairul Azuan Kamarrudin,Parti Warisan Sabah,245,Kalah
Kelantan,Tumpat,Haji Wan Jo,Pakatan Harapan,7762,Kalah
Kelantan,Tumpat,Asri Ali,Parti Bumiputera Perkasa Malaysia,593,Kalah
Kelantan,Pengkalan Chepa,Kak Jah,Pakatan Harapan,7356,Kalah
Kelantan,Pengkalan Chepa,Dr. Hafiz,Barisan Nasional,15663,Kalah
Kelantan,Pengkalan Chepa,Datuk Marzuk,Parti Islam Se-Malaysia,53933,Menang
Kelantan,Pengkalan Chepa,Wan Ahmad Nasri,Parti Pejuang Tanahair,358,Kalah
Kelantan,Pengkalan Chepa,Abe Wae - Redzuan,Bebas,451,Kalah
Kelantan,Kota Bharu,Dr Hafidzah Mustakim,Pakatan Harapan,19256,Kalah
Kelantan,Kota Bharu,Hj. Rosmadi Ismail,Barisan Nasional,16168,Kalah
Kelantan,Kota Bharu,Datuk Seri Takiyuddin Hassan,Parti Islam Se-Malaysia,41869,Menang
Kelantan,Kota Bharu,Andy Tan @ Awang,Parti Rakyat Malaysia,107,Kalah
Kelantan,Kota Bharu,Prof. Dato Dr Che Musa Che Omar,Parti Bumiputera Perkasa Malaysia,528,Kalah
Kelantan,Kota Bharu,Izat Bukhary,Bebas,91,Kalah
Kelantan,Pasir Mas,Datuk Husam Musa,Pakatan Harapan,6439,Kalah
Kelantan,Pasir Mas,Dato Ghani,Barisan Nasional,13727,Kalah
Kelantan,Pasir Mas,Ustaz Fadhli Shaari,Parti Islam Se-Malaysia,44444,Menang
Kelantan,Pasir Mas,Nasrul Ali Hasan,Parti Bumiputera Perkasa Malaysia,543,Kalah
Kelantan,Rantau Panjang,Dr Shah,Pakatan Harapan,4256,Kalah
Kelantan,Rantau Panjang,Prof Ust Zul,Barisan Nasional,17123,Kalah
Kelantan,Rantau Panjang,Kak Lah,Parti Islam Se-Malaysia,37759,Menang
Kelantan,Rantau Panjang,Datuk Zain,Parti Rakyat Malaysia,173,Kalah
Kelantan,Rantau Panjang,Dato' Dr. Ibrahim Ali,Parti Bumiputera Perkasa Malaysia,1216,Kalah
Kelantan,Kubang Kerian,Dr.Wan Ahmad Kamil,Pakatan Harapan,10236,Kalah
Kelantan,Kubang Kerian,Kak Long,Barisan Nasional,14807,Kalah
Kelantan,Kubang Kerian,Ustaz Dato' Tuan Ibrahim,Parti Islam Se-Malaysia,55654,Menang
Kelantan,Kubang Kerian,Mohamad Rizal Bin Razali,Parti Pejuang Tanahair,687,Kalah
Kelantan,Bachok,Nor Azmiza Mamat,Pakatan Harapan,4366,Kalah
Kelantan,Bachok,Datuk Haji Zain Bin Yasim,Barisan Nasional,27229,Kalah
Kelantan,Bachok,Syahir Sulaiman,Parti Islam Se-Malaysia,57130,Menang
Kelantan,Bachok,Cikgu Zam,Parti Bumiputera Perkasa Malaysia,274,Kalah
Kelantan,Bachok,Haji Zu,Bebas,418,Kalah
Kelantan,Ketereh,Haji Rahimi,Pakatan Harapan,4662,Kalah
Kelantan,Ketereh,Mej Jen Dato Hj Khlir (B),Parti Islam Se-Malaysia,40542,Menang
Kelantan,Ketereh,Marzuani Ardila Ariffin (Gee),Barisan Nasional,17435,Kalah
Kelantan,Ketereh,Haneef Ibrahim (Abe Haneef),Parti Bumiputera Perkasa Malaysia,223,Kalah
Kelantan,Tanah Merah,Cikgu Bakri,Barisan Nasional,9781,Kalah
Kelantan,Tanah Merah,Dato' Sri Ikmal Hisham,Parti Pribumi Bersatu Malaysia,54266,Menang
Kelantan,Tanah Merah,Dato' D,Pakatan Harapan,5357,Kalah
Kelantan,Tanah Merah,Datuk Nik Sapeia,Bebas,114,Kalah
Kelantan,Tanah Merah,Lawyer Nasir Abdullah,Parti Bumiputera Perkasa Malaysia,168,Kalah
Kelantan,Pasir Puteh,Ustaz Muhammad Husain,Pakatan Harapan,3864,Kalah
Kelantan,Pasir Puteh,Datuk Cikgu Awi,Barisan Nasional,23828,Kalah
Kelantan,Pasir Puteh,Ustaz Nik Zawawi,Parti Islam Se-Malaysia,52937,Menang
Kelantan,Pasir Puteh,Kapten Wan Marzudi,Parti Pejuang Tanahair,349,Kalah
Kelantan,Machang,Dr Rosli Allani Abdull Kadir,Pakatan Harapan,3934,Kalah
Kelantan,Machang,Datuk Jazlan,Barisan Nasional,25449,Kalah
Kelantan,Machang,Wan Ahmad Fayhsal Wan Ahmad Kamal,Parti Islam Se-Malaysia,35603,Menang
Kelantan,Machang,Mejar (B) Mat,Parti Bumiputera Perkasa Malaysia,128,Kalah
Kelantan,Jeli,Md Radzi Wahab,Pakatan Harapan,1140,Kalah
Kelantan,Jeli,Norwahida Patuan,Barisan Nasional,14608,Kalah
Kelantan,Jeli,Pok Zahari,Parti Islam Se-Malaysia,27072,Menang
Kelantan,Jeli,Professor Dr Ir Hj Mat,Parti Bumiputera Perkasa Malaysia,133,Kalah
Kelantan,Kuala Krai,Syam Ghaz,Pakatan Harapan,4148,Kalah
Kelantan,Kuala Krai,Zuki,Barisan Nasional,17552,Kalah
Kelantan,Kuala Krai,Ustaz Latiff,Parti Islam Se-Malaysia,42740,Menang
Kelantan,Kuala Krai,Norashikin Bte Che Omar,Parti Pejuang Tanahair,241,Kalah
Kelantan,Gua Musang,Asharun Uji Abe Yo,Pakatan Harapan,4517,Kalah
Kelantan,Gua Musang,Tengku Razaleigh Hamzah,Barisan Nasional,21663,Kalah
Kelantan,Gua Musang,Mohd Azizi Abu Naim,Parti Islam Se-Malaysia,21826,Menang
Kelantan,Gua Musang,Dato' Dr. Adabi,Parti Pejuang Tanahair,371,Kalah
Melaka,Masjid Tanah,Abdul Hakim Bin Abdul Wahid,Barisan Nasional,21193,Kalah
Melaka,Masjid Tanah,Mas Ermieyati,Perikatan Nasional,25604,Menang
Melaka,Masjid Tanah,Mutalib Uthman ,Ikatan Demokratik Malaysia,7445,Kalah
Melaka,Masjid Tanah,Handrawirawan Bin Abu Bakar,Parti Pejuang Tanahair,507,Kalah
Melaka,Alor Gajah,Adly Zahari,Pakatan Harapan,28178,Menang
Melaka,Alor Gajah,Shahril Hamdan,Barisan Nasional,27288,Kalah
Melaka,Alor Gajah,Pak Wan (Datuk Seri Mohd Redzuan Bin Md Yusof),Perikatan Nasional,17211,Kalah
Melaka,Alor Gajah,Muhammad Nazriq Abdul Rahman,Parti Pejuang Tanahair,323,Kalah
Melaka,Tangga Batu,Prof. Madya Rusnah Aluai,Pakatan Harapan,28557,Kalah
Melaka,Tangga Batu,Datuk Lim Ban Hong,Barisan Nasional,25095,Kalah
Melaka,Tangga Batu,Bakri Jamaluddin,Perikatan Nasional,37406,Menang
Melaka,Tangga Batu,Ghazali Bin Abu,Parti Pejuang Tanahair,702,Kalah
Melaka,Tangga Batu,Shahril Mahmood,Bebas,267,Kalah
Melaka,Hang Tuah Jaya,Adam Adli,Pakatan Harapan,39418,Menang
Melaka,Hang Tuah Jaya,Mohd Ridhwan Bin Mohd Ali,Barisan Nasional,30780,Kalah
Melaka,Hang Tuah Jaya,Mohd Azrudin Bin Md Idris,Perikatan Nasional,23549,Kalah
Melaka,Hang Tuah Jaya,Sheikh Ikhzan,Parti Pejuang Tanahair,739,Kalah
Melaka,Kota Melaka,Khoo Poay Tiong,Pakatan Harapan,73995,Menang
Melaka,Kota Melaka,Kon Qi Yao,Barisan Nasional,20686,Kalah
Melaka,Kota Melaka,Suhaime Borhan,Perikatan Nasional,27575,Kalah
Melaka,Kota Melaka,Dato' Dr. Norazlan,Bebas,925,Kalah
Melaka,Jasin,Datuk Harun ,Pakatan Harapan,21674,Kalah
Melaka,Jasin,Roslan Bin Ahmad,Barisan Nasional,27571,Kalah
Melaka,Jasin,Tuan Guru Zulkifli Ismail,Perikatan Nasional,27893,Menang
Melaka,Jasin,Mohd Daud Nasir,Parti Pejuang Tanahair,460,Kalah
Negeri Sembilan,Jelebu,Jalaluddin Bin Alias,Barisan Nasional,21805,Menang
Negeri Sembilan,Jelebu,Zaharuddin Baba Samion ,Perikatan Nasional,9596,Kalah
Negeri Sembilan,Jelebu,Ahmad Fakhri,Parti Pejuang Tanahair,253,Kalah
Negeri Sembilan,Jelebu,Dato' Zulkefly Omar,Pakatan Harapan,13680,Kalah
Negeri Sembilan,Jempol,Norwani Ahmat,Pakatan Harapan,24281,Kalah
Negeri Sembilan,Jempol,Affendy Salleh,Perikatan Nasional,16722,Kalah
Negeri Sembilan,Jempol,Tan Sri Khalid Yunus,Parti Pejuang Tanahair,654,Kalah
Negeri Sembilan,Jempol,Dato' Haji Shamshulkahar Bin Haji Mohd Deli,Barisan Nasional,30138,Menang
Negeri Sembilan,Seremban,Loke Siew Fook,Pakatan Harapan,63916,Menang
Negeri Sembilan,Seremban,Felicia Wong,Barisan Nasional,24584,Kalah
Negeri Sembilan,Seremban,Haji Fadli Che Me,Perikatan Nasional,33075,Kalah
Negeri Sembilan,Seremban,Sjn (B) Mohamad Jani,Parti Pejuang Tanahair,1336,Kalah
Negeri Sembilan,Seremban,Izzat Lesly,Bebas,373,Kalah
Negeri Sembilan,Kuala Pilah,Azman Bin Idris,Parti Warisan Sabah,333,Kalah
Negeri Sembilan,Kuala Pilah,Nor Azman Mohamad ,Pakatan Harapan,14940,Kalah
Negeri Sembilan,Kuala Pilah,Dato' Hj Adnan Hj Abu Hassan ,Barisan Nasional,21423,Menang
Negeri Sembilan,Kuala Pilah,Kamarulzaman Kamdias,Parti Pejuang Tanahair,406,Kalah
Negeri Sembilan,Kuala Pilah,Eddin Syazlee,Perikatan Nasional,11560,Kalah
Negeri Sembilan,Rasah,Cha Kee Chin,Pakatan Harapan,81434,Menang
Negeri Sembilan,Rasah,Ng Kian Nam,Barisan Nasional,19447,Kalah
Negeri Sembilan,Rasah,David Choong,Perikatan Nasional,18810,Kalah
Negeri Sembilan,Rembau,Jufitri Joha,Pakatan Harapan,33178,Kalah
Negeri Sembilan,Rembau,Tok Mat,Barisan Nasional,53075,Menang
Negeri Sembilan,Rembau,Hj. Nazree Yunus,Perikatan Nasional,21875,Kalah
Negeri Sembilan,Rembau,Ramly Bin Awalludin,Parti Pejuang Tanahair,529,Kalah
Negeri Sembilan,Rembau,Cikgu Tina,Parti Sosialis Malaysia,779,Kalah
Negeri Sembilan,Port Dickson,Dato' Seri Aminuddin Bin Harun,Pakatan Harapan,42013,Menang
Negeri Sembilan,Port Dickson,Datuk P.Kamalanathan,Barisan Nasional,18412,Kalah
Negeri Sembilan,Port Dickson,Cikgu Haji Rafiei Mustapha,Perikatan Nasional,18235,Kalah
Negeri Sembilan,Port Dickson,Dr. Ahmad Idham Bin Ahmad Nadzri,Parti Pejuang Tanahair,1084,Kalah
Negeri Sembilan,Port Dickson,Rani Kulup,Bebas,441,Kalah
Negeri Sembilan,Tampin,Faiz Fadzil,Pakatan Harapan,22007,Kalah
Negeri Sembilan,Tampin,Mohd Isam Bin Mohd Isa,Barisan Nasional,23283,Menang
Negeri Sembilan,Tampin,Mejar (B) Abdul Halim,Perikatan Nasional,14962,Kalah
Negeri Sembilan,Tampin,Ustaz Zamani Ibrahim,Parti Pejuang Tanahair,781,Kalah
Pahang,Cameron Highlands,Chiong Yoke Kong,Pakatan Harapan,11576,Kalah
Pahang,Cameron Highlands,Dr. Abdul Rasid,Perikatan Nasional,5569,Kalah
Pahang,Cameron Highlands,Dato' Ramli Bin Mohd Nor,Barisan Nasional,16120,Menang
Pahang,Lipis,Tengku Zulpuri Shah Bin Raja Puji,Pakatan Harapan,6366,Kalah
Pahang,Lipis,Dato' Shahrum ,Perikatan Nasional,11554,Kalah
Pahang,Lipis,Aishaton Binti Abu Bakar,Parti Pejuang Tanahair,263,Kalah
Pahang,Lipis,Dato Sri Abdul Rahman Bin Mohamad,Barisan Nasional,17672,Menang
Pahang,Raub,Chow Yu Hui,Pakatan Harapan,21613,Menang
Pahang,Raub,Chong Sin Woon,Barisan Nasional,16939,Kalah
Pahang,Raub,Dato Fakrunizam Ibrahim,Perikatan Nasional,17256,Kalah
Pahang,Raub,Norkhairul Anuar Bin Mohamed Nor,Parti Pejuang Tanahair,427,Kalah
Pahang,Jerantut,Dato' Dr Hassan Basri Bin Awang Mat Dahan,Pakatan Harapan,11444,Kalah
Pahang,Jerantut,Ir. Haji Khairil Nizam Bin Khirudin,Perikatan Nasional,31701,Menang
Pahang,Jerantut,Dato' Mohd Zukarmi,Barisan Nasional,23609,Kalah
Pahang,Indera Mahkota,Haji Zuraidi Ismail,Pakatan Harapan,33293,Kalah
Pahang,Indera Mahkota,Dato' Quek Tai Seong,Barisan Nasional,16530,Kalah
Pahang,Indera Mahkota,Dato' Sri Saifuddin Abdullah,Perikatan Nasional,41692,Menang
Pahang,Indera Mahkota,Dr. Mohamad Nor Bin Sundari,Barisan Jemaah Islamiah Se-Malaysia,1864,Kalah
Pahang,Kuantan,Fuziah Salleh,Pakatan Harapan,22648,Kalah
Pahang,Kuantan,Wan Razali Wan Nor,Perikatan Nasional,25514,Menang
Pahang,Kuantan,Dato' Sri Ab Hamid Bin Mohd Nazahar,Barisan Nasional,19114,Kalah
Pahang,Kuantan,Mejar Anuar Tajuddin (B),Parti Pejuang Tanahair,486,Kalah
Pahang,Paya Besar,Ustaz Aire Roslan,Perikatan Nasional,25582,Kalah
Pahang,Paya Besar,Dato' Indera Mohd Shahar Bin Abdullah,Barisan Nasional,26899,Menang
Pahang,Paya Besar,Ir. Rosminahar,Parti Pejuang Tanahair,310,Kalah
Pahang,Paya Besar,Ahmad Azam,Pakatan Harapan,9192,Kalah
Pahang,Pekan,Mohd Naim Zainal Abidin,Pakatan Harapan,6316,Kalah
Pahang,Pekan,Ustaz Mohd Fadhil Noor Bin Abdul Karim,Perikatan Nasional,38469,Kalah
Pahang,Pekan,Sh Mohmed Puzi Bin Sh Ali,Barisan Nasional,47418,Menang
Pahang,Pekan,Dato' Radhi Abdul Razak,Parti Pejuang Tanahair,472,Kalah
Pahang,Pekan,Tengku Dato' Hisham,Bebas,366,Kalah
Pahang,Maran,Ahmad Shuhor Awang,Pakatan Harapan,3547,Kalah
Pahang,Maran,Dato Sri Dr Hj Ismail B Hj Abd Muttalib,Perikatan Nasional,19600,Menang
Pahang,Maran,Shahaniza Shamsuddin,Barisan Nasional,17779,Kalah
Pahang,Maran,Muhamad Hafiz Al-Hafiz,Bebas,166,Kalah
