State,DUN,Name,Party,Vote,Result
Perak,Changkat Jong,Muhammad Amirul Mahfuz,Parti Pejuang Tanahair,312,Kalah
Perak,Sungkai,A. Sivanesan,Pakatan Harapan,9549,Menang
Perak,Sungkai,Thilak Raj A/L Gunasekaran,Perikatan Nasional,1744,Kalah
Perak,Sungkai,Cikgu Mahhadee,Bebas,588,Kalah
Perak,Sungkai,Dato' Elango,Barisan Nasional,4311,Kalah
Perak,Slim,Ustaz Zulfadli Zainal,Perikatan Nasional,9153,Menang
Perak,Slim,Zaidi Aziz,Barisan Nasional,8737,Kalah
Perak,Slim,Ustaz Meor Azim,Parti Pejuang Tanahair,201,Kalah
Perak,Slim,Mohd Syahid Bin Mohd Zaini,Pakatan Harapan,5455,Kalah
Perak,Behrang,Khairol Najib,Pakatan Harapan,10135,Kalah
Perak,Behrang,Mohd Amran Bin Ibrahim,Perikatan Nasional,9240,Kalah
Perak,Behrang,Salina Samsudin,Barisan Nasional,10337,Menang
Perak,Behrang,Hazvee Bin Hafiz,Parti Pejuang Tanahair,317,Kalah
Perlis,Titi Tinggi,Teh Seng Chuan,Pakatan Harapan,1512,Kalah
Perlis,Titi Tinggi,Teh Chai Aan,Barisan Nasional,1816,Kalah
Perlis,Titi Tinggi,Izizam Bin Ibrahim (Adi),Perikatan Nasional,5601,Menang
Perlis,Titi Tinggi,Khaw Hock Kong,Parti Warisan Sabah,81,Kalah
Perlis,Titi Tinggi,Shahril (Caen),Parti Pejuang Tanahair,152,Kalah
Perlis,Titi Tinggi,Zahidi Bin Zainul Abidin,Bebas,425,Kalah
Perlis,Beseri,Cikgu Mat Safar,Pakatan Harapan,1684,Kalah
Perlis,Beseri,Ruzaini Bin Rais,Barisan Nasional,2993,Kalah
Perlis,Beseri,Haziq Asyraf Dun,Perikatan Nasional,4040,Menang
Perlis,Beseri,Shamim Nordin,Parti Warisan Sabah,96,Kalah
Perlis,Chuping,Natthavuth Seng,Pakatan Harapan,1602,Kalah
Perlis,Chuping,Asmaiza Binti Ahmad,Barisan Nasional,3453,Kalah
Perlis,Chuping,Hj Saad Bin Seman,Perikatan Nasional,5873,Menang
Perlis,Mata Ayer,Amran Bin Kamarudin,Pakatan Harapan,794,Kalah
Perlis,Mata Ayer,Siti Berenee,Barisan Nasional,2398,Kalah
Perlis,Mata Ayer,Wan Badariah Binti Wan Saad,Perikatan Nasional,4419,Menang
Perlis,Santan,Cikgu Mazlina,Pakatan Harapan,1030,Kalah
Perlis,Santan,Azizan Sulaiman,Barisan Nasional,2644,Kalah
Perlis,Santan,Ustaz Azmir,Perikatan Nasional,4752,Menang
Perlis,Bintong,Cikgu Azhari,Pakatan Harapan,2029,Kalah
Perlis,Bintong,Azlan Man,Barisan Nasional,2996,Kalah
Perlis,Bintong,Fakhrul Anwar Bin Ismail,Perikatan Nasional,7325,Menang
Perlis,Bintong,Mohamad Khair Bin Mohd Noor,Parti Warisan Sabah,57,Kalah
Perlis,Bintong,Shazwan Bin Suban,Parti Pejuang Tanahair,157,Kalah
Perlis,Bintong,Datuk Hashim Suboh,Bebas,157,Kalah
Perlis,Sena,Asrul Nizan Hj Abd Jalil,Pakatan Harapan,3356,Kalah
Perlis,Sena,Saiful Daniel Mohd Yusof,Barisan Nasional,2619,Kalah
Perlis,Sena,Marzita Binti Mansor,Perikatan Nasional,5556,Menang
Perlis,Sena,Mohd Faizal Bin Yunus,Parti Pejuang Tanahair,222,Kalah
Perlis,Indera Kayangan,Gan Ay Ling,Pakatan Harapan,4830,Menang
Perlis,Indera Kayangan,Lim Weng Khee,Barisan Nasional,1882,Kalah
Perlis,Indera Kayangan,Pramoot A/L Puan,Perikatan Nasional,2957,Kalah
Perlis,Indera Kayangan,Atan Bin Jasin,Parti Warisan Sabah,736,Kalah
Perlis,Kuala Perlis,Azam Karap,Pakatan Harapan,3053,Kalah
Perlis,Kuala Perlis,Kamarudin Bin Malek,Barisan Nasional,2145,Kalah
Perlis,Kuala Perlis,Abu Bakar Bin Hamzah,Perikatan Nasional,3207,Menang
Perlis,Kuala Perlis,Azahar Bin Ahmad,Bebas,2197,Kalah
Perlis,Kuala Perlis,Muhamad Hairi Bin Noordin,Parti Warisan Sabah,68,Kalah
Perlis,Kayang,Wan Kharizal,Pakatan Harapan,1400,Kalah
Perlis,Kayang,Hamizan Bin Hassan,Barisan Nasional,2917,Kalah
Perlis,Kayang,Khairuddin Bin Abdullah,Parti Warisan Sabah,101,Kalah
Perlis,Kayang,Ustaz Asrul Aimran,Perikatan Nasional,6178,Menang
Perlis,Pauh,Azhar Bin Ameir,Pakatan Harapan,2369,Kalah
Perlis,Pauh,Syed Atif,Barisan Nasional,2695,Kalah
Perlis,Pauh,Cikgu Megat Hashirat,Perikatan Nasional,4924,Menang
Perlis,Pauh,Mohd Khalid Ahmad,Parti Warisan Sabah,1157,Kalah
Perlis,Tambun Tulang,Syahmi Suhaimi,Pakatan Harapan,1554,Kalah
Perlis,Tambun Tulang,Ismail Bin Kasim (Chu),Barisan Nasional,2971,Kalah
Perlis,Tambun Tulang,Zikri,Perikatan Nasional,5456,Menang
Perlis,Tambun Tulang,Maton Bin Din,Parti Pejuang Tanahair,182,Kalah
Perlis,Guar Sanji,Hasparizal Bin Hassan,Pakatan Harapan,601,Kalah
Perlis,Guar Sanji,Rozieana Binti Ahmad,Barisan Nasional,1616,Kalah
Perlis,Guar Sanji,Ustaz Ridzuan Bin Hashim,Perikatan Nasional,6717,Menang
Perlis,Guar Sanji,Abdul Malik Bin Abdullah,Parti Pejuang Tanahair,119,Kalah
Perlis,Simpang Empat,Amran Bin Darus,Pakatan Harapan,1111,Kalah
Perlis,Simpang Empat,Nurulhisham,Barisan Nasional,1380,Kalah
Perlis,Simpang Empat,Haji Razali Saad,Perikatan Nasional,5388,Menang
Perlis,Simpang Empat,Dr. Hakim Saad,Parti Warisan Sabah,35,Kalah
Perlis,Simpang Empat,Izhar Sudin,Parti Pejuang Tanahair,73,Kalah
Perlis,Simpang Empat,Ammar Bin Hassan,Bebas,128,Kalah
Perlis,Sanglang,Dr. Ahmad Fadhzil Mohamad,Pakatan Harapan,931,Kalah
Perlis,Sanglang,Budin,Barisan Nasional,1776,Kalah
Perlis,Sanglang,Cikgu Shukri,Perikatan Nasional,5111,Menang
Perlis,Sanglang,Zainudin Bin Yom,Parti Warisan Sabah,408,Kalah
Sabah,Bugaya,Jamil Bin Hamzah,Parti Warisan Sabah,11382,Menang
